Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-Wakaf Asset Online,Edge Chromium 117,,,2023-10-02 13:22:16,2023-10-02 13:28:27,6m - 11.914s,FAILED
,,,,,,,
Test Cases/Wakaf Asset Online/TC-WAO-001,Edge Chromium 117,user memasukkan Data di Wakaf Asset Online dengan input valid.,,2023-10-02 13:22:16,2023-10-02 13:22:56,39.989s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Edge Chromium 117,,,2023-10-02 13:22:16,2023-10-02 13:22:42,25.674s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-02 13:22:42,2023-10-02 13:22:42,0.176s,PASSED
"verifyElementPresent(findTestObject(""Search Product/Verify Page Tajalapak""), 0)",Edge Chromium 117,,,2023-10-02 13:22:42,2023-10-02 13:22:43,0.791s,PASSED
"click(findTestObject(""Wakaf Asset Online/Donasi""))",Edge Chromium 117,,,2023-10-02 13:22:43,2023-10-02 13:22:43,0.435s,PASSED
"click(findTestObject(""Wakaf Asset Online/Wakaf Asset Donasi""))",Edge Chromium 117,,,2023-10-02 13:22:43,2023-10-02 13:22:44,0.975s,PASSED
"verifyElementPresent(findTestObject(""Wakaf Asset Online/verify Wakaf Asset Online""), 0)",Edge Chromium 117,,,2023-10-02 13:22:44,2023-10-02 13:22:45,0.789s,PASSED
"selectOptionByValue(findTestObject(""Wakaf Asset Online/Pilih Type Wakaf""), ""Bangunan"", false)",Edge Chromium 117,,,2023-10-02 13:22:45,2023-10-02 13:22:46,0.690s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Perkiraan Nilai Asset""), ""100000000"")",Edge Chromium 117,,,2023-10-02 13:22:46,2023-10-02 13:22:47,0.953s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Alamat Asset""), ""Jalan Taruma Jawa Timur"")",Edge Chromium 117,,,2023-10-02 13:22:47,2023-10-02 13:22:47,0.734s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Keterangan Asset""), ""Masjid"")",Edge Chromium 117,,,2023-10-02 13:22:47,2023-10-02 13:22:48,0.721s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Nama Lengkap""), ""joko susanto"")",Edge Chromium 117,,,2023-10-02 13:22:48,2023-10-02 13:22:49,0.803s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input No Handphone""), ""085123456789"")",Edge Chromium 117,,,2023-10-02 13:22:49,2023-10-02 13:22:50,1.447s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Email""), ""joko@gmail.com"")",Edge Chromium 117,,,2023-10-02 13:22:50,2023-10-02 13:22:51,0.740s,PASSED
"uploadFile(findTestObject(""Wakaf Asset Online/Input File Upload""), ""E:\minions.png"")",Edge Chromium 117,,,2023-10-02 13:22:51,2023-10-02 13:22:52,0.413s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input 2 Digit Terakhir""), ""89"")",Edge Chromium 117,,,2023-10-02 13:22:52,2023-10-02 13:22:52,0.732s,PASSED
"click(findTestObject(""Wakaf Asset Online/button Wakaf Sekarang""))",Edge Chromium 117,,,2023-10-02 13:22:52,2023-10-02 13:22:55,2.821s,PASSED
"verifyElementPresent(findTestObject(""Wakaf Asset Online/Verify Wakaf Asset Diproses""), 0)",Edge Chromium 117,,,2023-10-02 13:22:55,2023-10-02 13:22:56,0.698s,PASSED
,,,,,,,
Test Cases/Wakaf Asset Online/TC-WAO-002,Edge Chromium 117,ketika user memasukkan Data tanpa keterangan di Wakaf Asset Online dengan input valid.,,2023-10-02 13:22:56,2023-10-02 13:23:14,18.640s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Edge Chromium 117,,,2023-10-02 13:22:56,2023-10-02 13:23:03,6.337s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-02 13:23:03,2023-10-02 13:23:03,0.157s,PASSED
"verifyElementPresent(findTestObject(""Search Product/Verify Page Tajalapak""), 0)",Edge Chromium 117,,,2023-10-02 13:23:03,2023-10-02 13:23:03,0.780s,PASSED
"click(findTestObject(""Wakaf Asset Online/Donasi""))",Edge Chromium 117,,,2023-10-02 13:23:03,2023-10-02 13:23:04,0.441s,PASSED
"click(findTestObject(""Wakaf Asset Online/Wakaf Asset Donasi""))",Edge Chromium 117,,,2023-10-02 13:23:04,2023-10-02 13:23:05,1.028s,PASSED
"verifyElementPresent(findTestObject(""Wakaf Asset Online/verify Wakaf Asset Online""), 0)",Edge Chromium 117,,,2023-10-02 13:23:05,2023-10-02 13:23:06,0.692s,PASSED
"selectOptionByValue(findTestObject(""Wakaf Asset Online/Pilih Type Wakaf""), ""Bangunan"", false)",Edge Chromium 117,,,2023-10-02 13:23:06,2023-10-02 13:23:06,0.700s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Perkiraan Nilai Asset""), ""100000000"")",Edge Chromium 117,,,2023-10-02 13:23:06,2023-10-02 13:23:07,1.117s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Alamat Asset""), ""Jalan Taruma Jawa Timur"")",Edge Chromium 117,,,2023-10-02 13:23:07,2023-10-02 13:23:08,0.759s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Keterangan Asset""), """")",Edge Chromium 117,,,2023-10-02 13:23:08,2023-10-02 13:23:09,0.687s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Nama Lengkap""), ""joko susanto"")",Edge Chromium 117,,,2023-10-02 13:23:09,2023-10-02 13:23:10,0.699s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input No Handphone""), ""085123456789"")",Edge Chromium 117,,,2023-10-02 13:23:10,2023-10-02 13:23:11,1.266s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Email""), ""joko@gmail.com"")",Edge Chromium 117,,,2023-10-02 13:23:11,2023-10-02 13:23:12,0.681s,PASSED
"uploadFile(findTestObject(""Wakaf Asset Online/Input File Upload""), ""E:\minions.png"")",Edge Chromium 117,,,2023-10-02 13:23:12,2023-10-02 13:23:12,0.360s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input 2 Digit Terakhir""), ""89"")",Edge Chromium 117,,,2023-10-02 13:23:12,2023-10-02 13:23:13,0.677s,PASSED
"click(findTestObject(""Wakaf Asset Online/button Wakaf Sekarang""))",Edge Chromium 117,,,2023-10-02 13:23:13,2023-10-02 13:23:14,1.152s,PASSED
"verifyElementPresent(findTestObject(""Wakaf Asset Online/Verify Wakaf Asset Diproses""), 0)",Edge Chromium 117,,,2023-10-02 13:23:14,2023-10-02 13:23:14,0.760s,PASSED
,,,,,,,
Test Cases/Wakaf Asset Online/TC-WAO-003,Edge Chromium 117,ketika User mengosongkan salah satu atau lebih  kolom input yang berbeda,,2023-10-02 13:23:14,2023-10-02 13:23:32,17.114s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Edge Chromium 117,,,2023-10-02 13:23:15,2023-10-02 13:23:21,6.469s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-02 13:23:21,2023-10-02 13:23:21,0.140s,PASSED
"verifyElementPresent(findTestObject(""Search Product/Verify Page Tajalapak""), 0)",Edge Chromium 117,,,2023-10-02 13:23:21,2023-10-02 13:23:22,0.790s,PASSED
"click(findTestObject(""Wakaf Asset Online/Donasi""))",Edge Chromium 117,,,2023-10-02 13:23:22,2023-10-02 13:23:23,0.393s,PASSED
"click(findTestObject(""Wakaf Asset Online/Wakaf Asset Donasi""))",Edge Chromium 117,,,2023-10-02 13:23:23,2023-10-02 13:23:24,0.951s,PASSED
"verifyElementPresent(findTestObject(""Wakaf Asset Online/verify Wakaf Asset Online""), 0)",Edge Chromium 117,,,2023-10-02 13:23:24,2023-10-02 13:23:24,0.770s,PASSED
"selectOptionByValue(findTestObject(""Wakaf Asset Online/Pilih Type Wakaf""), ""Bangunan"", false)",Edge Chromium 117,,,2023-10-02 13:23:24,2023-10-02 13:23:25,0.677s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Perkiraan Nilai Asset""), ""1000000"")",Edge Chromium 117,,,2023-10-02 13:23:25,2023-10-02 13:23:26,0.955s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Alamat Asset""), """")",Edge Chromium 117,,,2023-10-02 13:23:26,2023-10-02 13:23:27,0.725s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Keterangan Asset""), ""Masjid"")",Edge Chromium 117,,,2023-10-02 13:23:27,2023-10-02 13:23:27,0.678s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Nama Lengkap""), ""joko susanto"")",Edge Chromium 117,,,2023-10-02 13:23:27,2023-10-02 13:23:28,0.689s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input No Handphone""), ""085123456789"")",Edge Chromium 117,,,2023-10-02 13:23:28,2023-10-02 13:23:29,1.038s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Email""), ""joko@gmail.com"")",Edge Chromium 117,,,2023-10-02 13:23:29,2023-10-02 13:23:30,0.682s,PASSED
"uploadFile(findTestObject(""Wakaf Asset Online/Input File Upload""), ""E:\minions.png"")",Edge Chromium 117,,,2023-10-02 13:23:30,2023-10-02 13:23:30,0.359s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input 2 Digit Terakhir""), ""89"")",Edge Chromium 117,,,2023-10-02 13:23:30,2023-10-02 13:23:31,0.673s,PASSED
"click(findTestObject(""Wakaf Asset Online/button Wakaf Sekarang""))",Edge Chromium 117,,,2023-10-02 13:23:31,2023-10-02 13:23:31,0.384s,PASSED
driver = getWebDriver(),Edge Chromium 117,,,2023-10-02 13:23:31,2023-10-02 13:23:31,0.012s,PASSED
"field_username_element = driver.findElement(By.xpath(""//input[@name=""alamat""]""))",Edge Chromium 117,,,2023-10-02 13:23:31,2023-10-02 13:23:32,0.315s,PASSED
"accept_button_message = driver.executeScript(""return arguments[0].validationMessage"", field_username_element)",Edge Chromium 117,,,2023-10-02 13:23:32,2023-10-02 13:23:32,0.024s,PASSED
println(accept_button_message),Edge Chromium 117,,,2023-10-02 13:23:32,2023-10-02 13:23:32,0.004s,PASSED
"assert accept_button_message == ""Please fill out this field.""",Edge Chromium 117,,,2023-10-02 13:23:32,2023-10-02 13:23:32,0.002s,PASSED
,,,,,,,
Test Cases/Wakaf Asset Online/TC-WAO-004,Edge Chromium 117,ketika User tidak memasukkan Email dengan tidak sesuai domain,,2023-10-02 13:23:32,2023-10-02 13:23:49,17.159s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Edge Chromium 117,,,2023-10-02 13:23:32,2023-10-02 13:23:39,6.844s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-02 13:23:39,2023-10-02 13:23:39,0.146s,PASSED
"verifyElementPresent(findTestObject(""Search Product/Verify Page Tajalapak""), 0)",Edge Chromium 117,,,2023-10-02 13:23:39,2023-10-02 13:23:40,0.685s,PASSED
"click(findTestObject(""Wakaf Asset Online/Donasi""))",Edge Chromium 117,,,2023-10-02 13:23:40,2023-10-02 13:23:40,0.403s,PASSED
"click(findTestObject(""Wakaf Asset Online/Wakaf Asset Donasi""))",Edge Chromium 117,,,2023-10-02 13:23:40,2023-10-02 13:23:41,0.880s,PASSED
"verifyElementPresent(findTestObject(""Wakaf Asset Online/verify Wakaf Asset Online""), 0)",Edge Chromium 117,,,2023-10-02 13:23:41,2023-10-02 13:23:42,0.645s,PASSED
