Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-Search Product,Edge Chromium 117,,,2023-10-02 13:38:26,2023-10-02 13:45:13,6m - 46.256s,FAILED
,,,,,,,
Test Cases/Search Product/TC-SP-001,Edge Chromium 117,User memasukkan nama product di Kolom pencarian produk dengan input valid.,,2023-10-02 13:38:27,2023-10-02 13:39:09,42.887s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Edge Chromium 117,,,2023-10-02 13:38:27,2023-10-02 13:39:06,38.553s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-02 13:39:06,2023-10-02 13:39:06,0.261s,PASSED
"verifyElementPresent(findTestObject(""Search Product/Verify Page Tajalapak""), 0)",Edge Chromium 117,,,2023-10-02 13:39:06,2023-10-02 13:39:07,0.862s,PASSED
"setText(findTestObject(""Search Product/Input Product""), merk)",Edge Chromium 117,,,2023-10-02 13:39:07,2023-10-02 13:39:08,0.880s,PASSED
"click(findTestObject(""Search Product/button_Cari Product""))",Edge Chromium 117,,,2023-10-02 13:39:08,2023-10-02 13:39:09,1.188s,PASSED
"merk_product = getText(findTestObject(""Object Repository/Search Product/Laptop Merk Dell""))",Edge Chromium 117,,,2023-10-02 13:39:09,2023-10-02 13:39:09,0.682s,PASSED
merkLowercase = merk_product.toLowerCase(),Edge Chromium 117,,,2023-10-02 13:39:09,2023-10-02 13:39:09,0.002s,PASSED
assert merkLowercase.contains(merk.toLowerCase()),Edge Chromium 117,,,2023-10-02 13:39:09,2023-10-02 13:39:09,0.004s,PASSED
,,,,,,,
Test Cases/Search Product/TC-SP-002,Edge Chromium 117,user memasukkan nama product di pencarian produk dengan input valid dengan hanya 1 huruf.,,2023-10-02 13:39:09,2023-10-02 13:39:20,10.681s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Edge Chromium 117,,,2023-10-02 13:39:10,2023-10-02 13:39:16,6.407s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-02 13:39:16,2023-10-02 13:39:17,0.146s,PASSED
"verifyElementPresent(findTestObject(""Search Product/Verify Page Tajalapak""), 0)",Edge Chromium 117,,,2023-10-02 13:39:17,2023-10-02 13:39:17,0.787s,PASSED
"setText(findTestObject(""Search Product/Input Product""), merk)",Edge Chromium 117,,,2023-10-02 13:39:17,2023-10-02 13:39:18,0.763s,PASSED
"click(findTestObject(""Search Product/button_Cari Product""))",Edge Chromium 117,,,2023-10-02 13:39:18,2023-10-02 13:39:19,1.253s,PASSED
