Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Product Admin,Edge Chromium 117,,,2023-10-06 09:54:00,2023-10-06 10:20:09,26m - 8.341s,FAILED
,,,,,,,
Test Cases/Product Admin/TC-PA-001,Edge Chromium 117,user melihat produk yang ada,,2023-10-06 09:54:01,2023-10-06 09:54:24,23.560s,PASSED
"callTestCase(findTestCase(""Login Admin/TC-Login Admin-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:54:01,2023-10-06 09:54:22,20.945s,PASSED
"click(findTestObject(""Product Admin/Master Market""))",Edge Chromium 117,,,2023-10-06 09:54:22,2023-10-06 09:54:22,0.381s,PASSED
"click(findTestObject(""Product Admin/Produk Admin""))",Edge Chromium 117,,,2023-10-06 09:54:22,2023-10-06 09:54:24,1.317s,PASSED
"verifyElementPresent(findTestObject(""Product Admin/Veridikasi Halaman Semua Produk""), 0)",Edge Chromium 117,,,2023-10-06 09:54:24,2023-10-06 09:54:24,0.455s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-002,Edge Chromium 117,User ingin menampilkan product sebanyak 10/25/50/100,,2023-10-06 09:54:24,2023-10-06 09:54:47,23.318s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:54:24,2023-10-06 09:54:46,21.761s,PASSED
"selectOptionByValue(findTestObject(""Product Admin/Show Product""), show, false)",Edge Chromium 117,,,2023-10-06 09:54:46,2023-10-06 09:54:47,0.830s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data No Product""), 10)",Edge Chromium 117,,,2023-10-06 09:54:47,2023-10-06 09:54:47,0.437s,PASSED
assert Integer.parseInt(show) == dataList.size(),Edge Chromium 117,,,2023-10-06 09:54:47,2023-10-06 09:54:47,0.002s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-003,Edge Chromium 117,User ingin mengurutkan No product dari yang terbesar ke yang terkecil,,2023-10-06 09:54:47,2023-10-06 09:55:10,22.904s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:54:48,2023-10-06 09:55:09,21.669s,PASSED
"click(findTestObject(""Product Admin/Button Sort No""))",Edge Chromium 117,,,2023-10-06 09:55:09,2023-10-06 09:55:10,0.396s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data No Product""), 10)",Edge Chromium 117,,,2023-10-06 09:55:10,2023-10-06 09:55:10,0.432s,PASSED
arrProdukNoOri = [],Edge Chromium 117,,,2023-10-06 09:55:10,2023-10-06 09:55:10,0.001s,PASSED
arrProdukNoSort = [],Edge Chromium 117,,,2023-10-06 09:55:10,2023-10-06 09:55:10,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 09:55:10,2023-10-06 09:55:10,0.120s,PASSED
"Arrays.sort(arrProdukNoSort, Collections.reverseOrder())",Edge Chromium 117,,,2023-10-06 09:55:10,2023-10-06 09:55:10,0.015s,PASSED
assert arrProdukNoOri == arrProdukNoSort,Edge Chromium 117,,,2023-10-06 09:55:10,2023-10-06 09:55:10,0.000s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-004,Edge Chromium 117,User ingin mengurutkan No product dari yang terkecil ke yang terbesar,,2023-10-06 09:55:10,2023-10-06 09:55:34,24.029s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-003""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:55:11,2023-10-06 09:55:33,22.699s,PASSED
"click(findTestObject(""Product Admin/Button Sort No""))",Edge Chromium 117,,,2023-10-06 09:55:33,2023-10-06 09:55:34,0.370s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data No Product""), 10)",Edge Chromium 117,,,2023-10-06 09:55:34,2023-10-06 09:55:34,0.535s,PASSED
arrProdukNoOri = [],Edge Chromium 117,,,2023-10-06 09:55:34,2023-10-06 09:55:34,0.000s,PASSED
arrProdukNoSort = [],Edge Chromium 117,,,2023-10-06 09:55:34,2023-10-06 09:55:34,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 09:55:34,2023-10-06 09:55:34,0.105s,PASSED
Arrays.sort(arrProdukNoSort),Edge Chromium 117,,,2023-10-06 09:55:34,2023-10-06 09:55:34,0.000s,PASSED
assert arrProdukNoOri == arrProdukNoSort,Edge Chromium 117,,,2023-10-06 09:55:34,2023-10-06 09:55:34,0.001s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-005,Edge Chromium 117,User ingin mengurutkan Nama product dari yang A sampai Z,,2023-10-06 09:55:34,2023-10-06 09:55:57,22.743s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:55:35,2023-10-06 09:55:56,21.497s,PASSED
"click(findTestObject(""Product Admin/Button Sort Nama Produk""))",Edge Chromium 117,,,2023-10-06 09:55:56,2023-10-06 09:55:57,0.473s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data Nama Produk""), 10)",Edge Chromium 117,,,2023-10-06 09:55:57,2023-10-06 09:55:57,0.420s,PASSED
arrProdukNameOri = [],Edge Chromium 117,,,2023-10-06 09:55:57,2023-10-06 09:55:57,0.001s,PASSED
arrProdukNameSort = [],Edge Chromium 117,,,2023-10-06 09:55:57,2023-10-06 09:55:57,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 09:55:57,2023-10-06 09:55:57,0.112s,PASSED
Arrays.sort(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:55:57,2023-10-06 09:55:57,0.000s,PASSED
println(arrProdukNameOri),Edge Chromium 117,,,2023-10-06 09:55:57,2023-10-06 09:55:57,0.003s,PASSED
println(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:55:57,2023-10-06 09:55:57,0.000s,PASSED
assert arrProdukNameOri == arrProdukNameSort,Edge Chromium 117,,,2023-10-06 09:55:57,2023-10-06 09:55:57,0.000s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-006,Edge Chromium 117,User ingin mengurutkan Nama product dari yang Z sampai A,,2023-10-06 09:55:57,2023-10-06 09:56:21,23.550s,FAILED
"callTestCase(findTestCase(""Product Admin/TC-PA-005""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:55:57,2023-10-06 09:56:20,22.353s,PASSED
"click(findTestObject(""Product Admin/Button Sort Nama Produk""))",Edge Chromium 117,,,2023-10-06 09:56:20,2023-10-06 09:56:20,0.377s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data Nama Produk""), 10)",Edge Chromium 117,,,2023-10-06 09:56:20,2023-10-06 09:56:21,0.447s,PASSED
arrProdukNameOri = [],Edge Chromium 117,,,2023-10-06 09:56:21,2023-10-06 09:56:21,0.001s,PASSED
arrProdukNameSort = [],Edge Chromium 117,,,2023-10-06 09:56:21,2023-10-06 09:56:21,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 09:56:21,2023-10-06 09:56:21,0.111s,PASSED
"Arrays.sort(arrProdukNameSort, Collections.reverseOrder())",Edge Chromium 117,,,2023-10-06 09:56:21,2023-10-06 09:56:21,0.001s,PASSED
